code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref	psub	county	subpref
21506	白川町	しらかわちょう	Shirakawa Town	白川	しらかわ	Shirakawa	35	21	21500	21500	
21507	東白川村	ひがししらかわむら	Higashishirakawa Village	東白川	ひがししらかわ	Higashishirakawa	36	21	21500	21500	
21521	御嵩町	みたけちょう	Mitake Town	御嵩	みたけ	Mitake	35	21	21520	21520	
21604	白川村	しらかわむら	Shirakawa Village	白川	しらかわ	Shirakawa	36	21	21600	21600	
22100	静岡市	しずおかし	Shizuoka City	静岡	しずおか	Shizuoka	31	22	22100		
22130	浜松市	はままつし	Hamamatsu City	浜松	はままつ	Hamamatsu	31	22	22130		
22203	沼津市	ぬまづし	Numazu City	沼津	ぬまづ	Numazu	32	22	22200		
22205	熱海市	あたみし	Atami City	熱海	あたみ	Atami	32	22	22200		
22206	三島市	みしまし	Mishima City	三島	みしま	Mishima	32	22	22200		
22207	富士宮市	ふじのみやし	Fujinomiya City	富士宮	ふじのみや	Fujinomiya	32	22	22200		
22208	伊東市	いとうし	Ito City	伊東	いとう	Ito	32	22	22200		
22209	島田市	しまだし	Shimada City	島田	しまだ	Shimada	32	22	22200		
22210	富士市	ふじし	Fuji City	富士	ふじ	Fuji	32	22	22200		
22211	磐田市	いわたし	Iwata City	磐田	いわた	Iwata	32	22	22200		
22212	焼津市	やいづし	Yaizu City	焼津	やいづ	Yaizu	32	22	22200		
22213	掛川市	かけがわし	Kakegawa City	掛川	かけがわ	Kakegawa	32	22	22200		
22214	藤枝市	ふじえだし	Fujieda City	藤枝	ふじえだ	Fujieda	32	22	22200		
22215	御殿場市	ごてんばし	Gotenba City	御殿場	ごてんば	Gotenba	32	22	22200		
22216	袋井市	ふくろいし	Fukuroi City	袋井	ふくろい	Fukuroi	32	22	22200		
22219	下田市	しもだし	Shimoda City	下田	しもだ	Shimoda	32	22	22200		
22220	裾野市	すそのし	Susono City	裾野	すその	Susono	32	22	22200		
22221	湖西市	こさいし	Kosai City	湖西	こさい	Kosai	32	22	22200		
22222	伊豆市	いずし	Izu City	伊豆	いず	Izu	32	22	22200		
22223	御前崎市	おまえざきし	Omaezaki City	御前崎	おまえざき	Omaezaki	32	22	22200		
22224	菊川市	きくがわし	Kikugawa City	菊川	きくがわ	Kikugawa	32	22	22200		
22225	伊豆の国市	いずのくにし	Izunokuni City	伊豆の国	いずのくに	Izunokuni	32	22	22200		
22226	牧之原市	まきのはらし	Makinohara City	牧之原	まきのはら	Makinohara	32	22	22200		
22301	東伊豆町	ひがしいずちょう	Higashiizu Town	東伊豆	ひがしいず	Higashiizu	35	22	22300	22300	
22302	河津町	かわづちょう	Kawazu Town	河津	かわづ	Kawazu	35	22	22300	22300	
22304	南伊豆町	みなみいずちょう	Minamiizu Town	南伊豆	みなみいず	Minamiizu	35	22	22300	22300	
22305	松崎町	まつざきちょう	Matsuzaki Town	松崎	まつざき	Matsuzaki	35	22	22300	22300	
22306	西伊豆町	にしいずちょう	Nishiizu Town	西伊豆	にしいず	Nishiizu	35	22	22300	22300	
22325	函南町	かんなみちょう	Kannami Town	函南	かんなみ	Kannami	35	22	22320	22320	
22341	清水町	しみずちょう	Shimizu Town	清水	しみず	Shimizu	35	22	22340	22340	
22342	長泉町	ながいずみちょう	Nagaizumi Town	長泉	ながいずみ	Nagaizumi	35	22	22340	22340	
22344	小山町	おやまちょう	Oyama Town	小山	おやま	Oyama	35	22	22340	22340	
22424	吉田町	よしだちょう	Yoshida Town	吉田	よしだ	Yoshida	35	22	22420	22420	
22429	川根本町	かわねほんちょう	Kawanehon Town	川根本	かわねほん	Kawanehon	35	22	22420	22420	
22461	森町	もりまち	Mori Town	森	もり	Mori	34	22	22460	22460	
23100	名古屋市	なごやし	Nagoya City	名古屋	なごや	Nagoya	31	23	23100		
23201	豊橋市	とよはしし	Toyohashi City	豊橋	とよはし	Toyohashi	32	23	23200		
23202	岡崎市	おかざきし	Okazaki City	岡崎	おかざき	Okazaki	32	23	23200		
23203	一宮市	いちのみやし	Ichinomiya City	一宮	いちのみや	Ichinomiya	32	23	23200		
23204	瀬戸市	せとし	Seto City	瀬戸	せと	Seto	32	23	23200		
23205	半田市	はんだし	Handa City	半田	はんだ	Handa	32	23	23200		
23206	春日井市	かすがいし	Kasugai City	春日井	かすがい	Kasugai	32	23	23200		
23207	豊川市	とよかわし	Toyokawa City	豊川	とよかわ	Toyokawa	32	23	23200		
23208	津島市	つしまし	Tsushima City	津島	つしま	Tsushima	32	23	23200		
23209	碧南市	へきなんし	Hekinan City	碧南	へきなん	Hekinan	32	23	23200		
23210	刈谷市	かりやし	Kariya City	刈谷	かりや	Kariya	32	23	23200		
23211	豊田市	とよたし	Toyota City	豊田	とよた	Toyota	32	23	23200		
23212	安城市	あんじょうし	Anjo City	安城	あんじょう	Anjo	32	23	23200		
23213	西尾市	にしおし	Nishio City	西尾	にしお	Nishio	32	23	23200		
23214	蒲郡市	がまごおりし	Gamagori City	蒲郡	がまごおり	Gamagori	32	23	23200		
23215	犬山市	いぬやまし	Inuyama City	犬山	いぬやま	Inuyama	32	23	23200		
23216	常滑市	とこなめし	Tokoname City	常滑	とこなめ	Tokoname	32	23	23200		
23217	江南市	こうなんし	Konan City	江南	こうなん	Konan	32	23	23200		
23219	小牧市	こまきし	Komaki City	小牧	こまき	Komaki	32	23	23200		
23220	稲沢市	いなざわし	Inazawa City	稲沢	いなざわ	Inazawa	32	23	23200		
23221	新城市	しんしろし	Shinshiro City	新城	しんしろ	Shinshiro	32	23	23200		
23222	東海市	とうかいし	Tokai City	東海	とうかい	Tokai	32	23	23200		
23223	大府市	おおぶし	Obu City	大府	おおぶ	Obu	32	23	23200		
23224	知多市	ちたし	Chita City	知多	ちた	Chita	32	23	23200		
23225	知立市	ちりゅうし	Chiryu City	知立	ちりゅう	Chiryu	32	23	23200		
23226	尾張旭市	おわりあさひし	Owariasahi City	尾張旭	おわりあさひ	Owariasahi	32	23	23200		
23227	高浜市	たかはまし	Takahama City	高浜	たかはま	Takahama	32	23	23200		
23228	岩倉市	いわくらし	Iwakura City	岩倉	いわくら	Iwakura	32	23	23200		
23229	豊明市	とよあけし	Toyoake City	豊明	とよあけ	Toyoake	32	23	23200		
23230	日進市	にっしんし	Nisshin City	日進	にっしん	Nisshin	32	23	23200		
23231	田原市	たはらし	Tahara City	田原	たはら	Tahara	32	23	23200		
23232	愛西市	あいさいし	Aisai City	愛西	あいさい	Aisai	32	23	23200		
23233	清須市	きよすし	Kiyosu City	清須	きよす	Kiyosu	32	23	23200		
23234	北名古屋市	きたなごやし	Kitanagoya City	北名古屋	きたなごや	Kitanagoya	32	23	23200		
23235	弥富市	やとみし	Yatomi City	弥富	やとみ	Yatomi	32	23	23200		
23236	みよし市	みよしし	Miyoshi City	みよし	みよし	Miyoshi	32	23	23200		
23237	あま市	あまし	Ama City	あま	あま	Ama	32	23	23200		
23238	長久手市	ながくてし	Nagakute City	長久手	ながくて	Nagakute	32	23	23200		
23302	東郷町	とうごうちょう	Togo Town	東郷	とうごう	Togo	35	23	23300	23300	
23342	豊山町	とよやまちょう	Toyoyama Town	豊山	とよやま	Toyoyama	35	23	23340	23340	
23361	大口町	おおぐちちょう	Oguchi Town	大口	おおぐち	Oguchi	35	23	23360	23360	
23362	扶桑町	ふそうちょう	Fuso Town	扶桑	ふそう	Fuso	35	23	23360	23360	
23424	大治町	おおはるちょう	Oharu Town	大治	おおはる	Oharu	35	23	23420	23420	
23425	蟹江町	かにえちょう	Kanie Town	蟹江	かにえ	Kanie	35	23	23420	23420	
23427	飛島村	とびしまむら	Tobishima Village	飛島	とびしま	Tobishima	36	23	23420	23420	
23441	阿久比町	あぐいちょう	Agui Town	阿久比	あぐい	Agui	35	23	23440	23440	
23442	東浦町	ひがしうらちょう	Higashiura Town	東浦	ひがしうら	Higashiura	35	23	23440	23440	
23445	南知多町	みなみちたちょう	Minamichita Town	南知多	みなみちた	Minamichita	35	23	23440	23440	
23446	美浜町	みはまちょう	Mihama Town	美浜	みはま	Mihama	35	23	23440	23440	
23447	武豊町	たけとよちょう	Taketoyo Town	武豊	たけとよ	Taketoyo	35	23	23440	23440	
23501	幸田町	こうたちょう	Kota Town	幸田	こうた	Kota	35	23	23500	23500	
23561	設楽町	したらちょう	Shitara Town	設楽	したら	Shitara	35	23	23560	23560	
23562	東栄町	とうえいちょう	Toei Town	東栄	とうえい	Toei	35	23	23560	23560	
23563	豊根村	とよねむら	Toyone Village	豊根	とよね	Toyone	36	23	23560	23560	
24201	津市	つし	Tsu City	津	つ	Tsu	32	24	24200		
24202	四日市市	よっかいちし	Yokkaichi City	四日市	よっかいち	Yokkaichi	32	24	24200		
24203	伊勢市	いせし	Ise City	伊勢	いせ	Ise	32	24	24200		
24204	松阪市	まつさかし	Matsusaka City	松阪	まつさか	Matsusaka	32	24	24200		
24205	桑名市	くわなし	Kuwana City	桑名	くわな	Kuwana	32	24	24200		
24207	鈴鹿市	すずかし	Suzuka City	鈴鹿	すずか	Suzuka	32	24	24200		
24208	名張市	なばりし	Nabari City	名張	なばり	Nabari	32	24	24200		
24209	尾鷲市	おわせし	Owase City	尾鷲	おわせ	Owase	32	24	24200		
24210	亀山市	かめやまし	Kameyama City	亀山	かめやま	Kameyama	32	24	24200		
24211	鳥羽市	とばし	Toba City	鳥羽	とば	Toba	32	24	24200		
24212	熊野市	くまのし	Kumano City	熊野	くまの	Kumano	32	24	24200		
24214	いなべ市	いなべし	Inabe City	いなべ	いなべ	Inabe	32	24	24200		
24215	志摩市	しまし	Shima City	志摩	しま	Shima	32	24	24200		
24216	伊賀市	いがし	Iga City	伊賀	いが	Iga	32	24	24200		
24303	木曽岬町	きそさきちょう	Kisosaki Town	木曽岬	きそさき	Kisosaki	35	24	24300	24300	
24324	東員町	とういんちょう	Toin Town	東員	とういん	Toin	35	24	24320	24320	
24341	菰野町	こものちょう	Komono Town	菰野	こもの	Komono	35	24	24340	24340	
24343	朝日町	あさひちょう	Asahi Town	朝日	あさひ	Asahi	35	24	24340	24340	
24344	川越町	かわごえちょう	Kawagoe Town	川越	かわごえ	Kawagoe	35	24	24340	24340	
24441	多気町	たきちょう	Taki Town	多気	たき	Taki	35	24	24440	24440	
24442	明和町	めいわちょう	Meiwa Town	明和	めいわ	Meiwa	35	24	24440	24440	
24443	大台町	おおだいちょう	Odai Town	大台	おおだい	Odai	35	24	24440	24440	
24461	玉城町	たまきちょう	Tamaki Town	玉城	たまき	Tamaki	35	24	24460	24460	
24470	度会町	わたらいちょう	Watarai Town	度会	わたらい	Watarai	35	24	24460	24460	
24471	大紀町	たいきちょう	Taiki Town	大紀	たいき	Taiki	35	24	24460	24460	
24472	南伊勢町	みなみいせちょう	Minamiise Town	南伊勢	みなみいせ	Minamiise	35	24	24460	24460	
24543	紀北町	きほくちょう	Kihoku Town	紀北	きほく	Kihoku	35	24	24540	24540	
24561	御浜町	みはまちょう	Mihama Town	御浜	みはま	Mihama	35	24	24560	24560	
24562	紀宝町	きほうちょう	Kiho Town	紀宝	きほう	Kiho	35	24	24560	24560	
25201	大津市	おおつし	Otsu City	大津	おおつ	Otsu	32	25	25200		
25202	彦根市	ひこねし	Hikone City	彦根	ひこね	Hikone	32	25	25200		
25203	長浜市	ながはまし	Nagahama City	長浜	ながはま	Nagahama	32	25	25200		
25204	近江八幡市	おうみはちまんし	Omihachiman City	近江八幡	おうみはちまん	Omihachiman	32	25	25200		
25206	草津市	くさつし	Kusatsu City	草津	くさつ	Kusatsu	32	25	25200		
25207	守山市	もりやまし	Moriyama City	守山	もりやま	Moriyama	32	25	25200		
