code	full-ja	full-ja-hira	full-en	base-ja	base-ja-hira	base-en	type	pref
26300	乙訓郡	おとくにぐん	Otokuni County	乙訓	おとくに	Otokuni	24	26
26320	久世郡	くせぐん	Kuse County	久世	くせ	Kuse	24	26
26340	綴喜郡	つづきぐん	Tsuzuki County	綴喜	つづき	Tsuzuki	24	26
26360	相楽郡	そうらくぐん	Soraku County	相楽	そうらく	Soraku	24	26
26400	船井郡	ふないぐん	Funai County	船井	ふない	Funai	24	26
26460	与謝郡	よさぐん	Yosa County	与謝	よさ	Yosa	24	26
27100	大阪市	おおさかし	Osaka City	大阪	おおさか	Osaka	21	27
27140	堺市	さかいし	Sakai City	堺	さかい	Sakai	21	27
27200	市部	しぶ	City Area				23	27
27300	三島郡	みしまぐん	Mishima County	三島	みしま	Mishima	24	27
27320	豊能郡	とよのぐん	Toyono County	豊能	とよの	Toyono	24	27
27340	泉北郡	せんぼくぐん	Senboku County	泉北	せんぼく	Senboku	24	27
27360	泉南郡	せんなんぐん	Sennan County	泉南	せんなん	Sennan	24	27
27380	南河内郡	みなみかわちぐん	Minamikawachi County	南河内	みなみかわち	Minamikawachi	24	27
28100	神戸市	こうべし	Kobe City	神戸	こうべ	Kobe	21	28
28200	市部	しぶ	City Area				23	28
28300	川辺郡	かわべぐん	Kawabe County	川辺	かわべ	Kawabe	24	28
28360	多可郡	たかぐん	Taka County	多可	たか	Taka	24	28
28380	加古郡	かこぐん	Kako County	加古	かこ	Kako	24	28
28440	神崎郡	かんざきぐん	Kanzaki County	神崎	かんざき	Kanzaki	24	28
28460	揖保郡	いぼぐん	Ibo County	揖保	いぼ	Ibo	24	28
28480	赤穂郡	あこうぐん	Ako County	赤穂	あこう	Ako	24	28
28500	佐用郡	さようぐん	Sayo County	佐用	さよう	Sayo	24	28
28580	美方郡	みかたぐん	Mikata County	美方	みかた	Mikata	24	28
29200	市部	しぶ	City Area				23	29
29320	山辺郡	やまべぐん	Yamabe County	山辺	やまべ	Yamabe	24	29
29340	生駒郡	いこまぐん	Ikoma County	生駒	いこま	Ikoma	24	29
29360	磯城郡	しきぐん	Shiki County	磯城	しき	Shiki	24	29
29380	宇陀郡	うだぐん	Uda County	宇陀	うだ	Uda	24	29
29400	高市郡	たかいちぐん	Takaichi County	高市	たかいち	Takaichi	24	29
29420	北葛城郡	きたかつらぎぐん	Kitakatsuragi County	北葛城	きたかつらぎ	Kitakatsuragi	24	29
29440	吉野郡	よしのぐん	Yoshino County	吉野	よしの	Yoshino	24	29
30200	市部	しぶ	City Area				23	30
30300	海草郡	かいそうぐん	Kaiso County	海草	かいそう	Kaiso	24	30
30340	伊都郡	いとぐん	Ito County	伊都	いと	Ito	24	30
30360	有田郡	ありだぐん	Arida County	有田	ありだ	Arida	24	30
